Year,Area,Element Code,Element,Item Code,Item,Year Code,Unit,Value
1961,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1961,kilotonnes,72.3821
1962,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1962,kilotonnes,83.4528
1963,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1963,kilotonnes,96.0719
1964,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1964,kilotonnes,103.5306
1965,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1965,kilotonnes,115.9178
1966,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1966,kilotonnes,132.0489
1967,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1967,kilotonnes,149.8096
1968,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1968,kilotonnes,158.0258
1969,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1969,kilotonnes,167.7165
1970,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1970,kilotonnes,182.8935
1971,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1971,kilotonnes,187.5571
1972,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1972,kilotonnes,197.4416
1973,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1973,kilotonnes,213.7549
1974,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1974,kilotonnes,214.6063
1975,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1975,kilotonnes,236.1001
1976,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1976,kilotonnes,259.0384
1977,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1977,kilotonnes,260.0263
1978,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1978,kilotonnes,266.1338
1979,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1979,kilotonnes,283.6774
1980,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1980,kilotonnes,300.9427
1981,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1981,kilotonnes,292.9361
1982,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1982,kilotonnes,264.9758
1983,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1983,kilotonnes,279.1538
1984,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1984,kilotonnes,309.2187
1985,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1985,kilotonnes,299.6554
1986,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1986,kilotonnes,297.7315
1987,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1987,kilotonnes,303.8018
1988,Americas,7230,Emissions (N2O),5061,Synthetic Fertilizers,1988,kilotonnes,302.481
